Value,Txn_Fee,Method
1.0,0.00268208,Execute
0.035,0.00305825,Execute
,0.02485512,Unidentified
0.33,0.00251564,Swap
,0.00283789,Unidentified
0.092345518,0.00027335,Transfer
0.000990319,0.00027616,Transfer
0.142,0.001384,Unidentified
0.000777,0.00166318,Other
0.287655206,0.00180974,Other
0.045177174,0.00180956,Other
0.0061,0.00196157,Execute
0.191017163,0.00201365,Execute
1.0,0.00203359,Execute
0.58,0.00206671,Execute
0.26,0.00206671,Execute
0.05,0.0021036,Execute
0.015,0.00027873,Transfer
0.080757849,0.00027873,Transfer
0.18,0.00228628,Execute
0.165,0.00235245,Execute
0.012765615,0.00179755,Other
0.329534,0.00028166,Transfer
0.005222295,0.00028166,Transfer
0.00153073,0.00028166,Transfer
0.015164056,0.00028166,Transfer
0.03272124,0.00028166,Transfer
0.04,0.00236603,Swap
0.4,0.00373866,Execute
0.000800489,0.00028261,Transfer
0.00147,0.00382833,Other
0.17,0.00388815,Swap
0.000771589,0.00028385,Transfer
0.150908783,0.00028385,Transfer
0.078545083,0.00028584,Transfer
0.099999998,0.00555353,Other
0.491727167,0.00028754,Transfer
0.228264647,0.00029235,Transfer
0.000505992,0.00029235,Transfer
0.243850766,0.00029235,Transfer
0.07,0.0025633,Execute
4.251597136,0.00029284,Transfer
0.045730073,0.00524234,Swap
0.01,0.000294,Transfer
2.5,0.00029402,Transfer
8.835375113,0.00029512,Transfer
1.999639927,0.00029512,Transfer
0.006235799,0.0002965,Transfer
4.0382e-05,0.0002965,Transfer
0.10728,0.00771969,Swap
0.14783973,0.00029782,Transfer
1.876190683,0.00029782,Transfer
0.03189784,0.00030313,Transfer
0.0151064,0.00032342,Transfer
0.09726396,0.00032342,Transfer
0.00395034,0.00032342,Transfer
0.12289391,0.00031906,Transfer
0.01101726,0.00031906,Transfer
0.400449374,0.00030738,Transfer
0.01,0.00030794,Transfer
0.04467555,0.00029805,Transfer
0.02268933,0.00029805,Transfer
0.08107275,0.00029805,Transfer
6.701e-06,0.00029805,Transfer
1.0183e-05,0.00029805,Transfer
0.000131326,0.00030313,Transfer
1.157e-06,0.00030313,Transfer
0.003370144,0.00040364,Other
0.00137613,0.0003095,Transfer
0.000956978,0.0003095,Transfer
0.030642614,0.0003095,Transfer
0.000282849,0.0024286,Unidentified
0.0012,0.00031535,Transfer
0.022684642,0.00031535,Transfer
0.000473591,0.00031535,Transfer
0.87609,0.00031535,Transfer
0.00913216,0.00031535,Transfer
1.61514255,0.00031535,Transfer
0.0172804,0.00031535,Transfer
0.118448158,0.00031535,Transfer
0.078532215,0.00031535,Transfer
0.4039172,0.00031537,Transfer
0.07285102,0.00031644,Transfer
0.019328104,0.00031829,Transfer
0.25,0.00032204,Transfer
0.039274469,0.00032724,Transfer
0.000664608,0.00033635,Transfer
0.001039169,0.00033635,Transfer
0.0118,0.00034466,Transfer
0.056190699,0.00034466,Transfer
0.0665,0.00034466,Transfer
4.22,0.00034691,Transfer
0.004552827,0.00035442,Transfer
0.000357,0.000357,Transfer
0.004335,0.000357,Transfer
0.3968076,0.0003596,Transfer
0.1,0.00037738,Transfer
0.99524628,0.00146915,Unidentified
0.035576395,0.00038713,Transfer
0.008269375,0.00310879,Swap
0.00887289,0.00270306,Execute
1.1,0.00190983,Swap
0.342232906,0.00194167,Other
0.031766401,0.0022095,Execute
0.0392,0.0023411,Other
0.006260583,0.00050136,Transfer
0.00812,0.00051138,Transfer
0.0081123,0.00051138,Transfer
0.028,0.00213061,Execute
0.00988,0.00228589,Execute
0.00555594,0.00234854,Execute
0.017,0.00242296,Execute
0.181609324,0.00242368,Execute
0.007,0.00251222,Execute
0.275,0.00306688,Execute
0.28,0.00321467,Execute
0.01,0.00236667,Swap
0.01894806,0.00334537,Execute
0.00214291,0.00037191,Transfer
0.219821666,0.00205847,Other
0.046889815,0.00384391,Execute
1.901,0.0017774,Other
0.005015923,0.00621938,Swap
1.63,0.00180083,Execute
0.128174481,0.00175347,Execute
0.105,0.00254458,Unidentified
0.105,0.00255889,Unidentified
0.06069,0.00254587,Unidentified
0.06069,0.00277472,Unidentified
0.74,0.00196888,Other
0.268999,0.00216608,Other
0.000466246,0.00033461,Transfer
0.01,0.00033461,Transfer
0.151626124,0.00033461,Transfer
0.000524819,0.00034511,Transfer
0.010006,0.00034511,Transfer
0.001758714,0.00034511,Transfer
0.001758714,0.00034511,Transfer
0.001154994,0.00034511,Transfer
0.0082,0.00034511,Transfer
0.001758714,0.00034511,Transfer
0.0100378,0.00034511,Transfer
0.104938,0.00034511,Transfer
0.012285,0.00034511,Transfer
0.000677839,0.00034511,Transfer
0.0963,0.00034511,Transfer
0.96577794,0.00034511,Transfer
0.000809565,0.00034511,Transfer
0.665861189,0.00034511,Transfer
0.022168803,0.00034511,Transfer
0.06476063,0.00034511,Transfer
0.04782702,0.00034513,Transfer
0.035,0.00034536,Transfer
0.002682819,0.00034616,Transfer
0.019646398,0.00034721,Transfer
0.014837,0.0003491,Transfer
0.061,0.0003491,Transfer
0.002637179,0.00035835,Transfer
0.116584418,0.00050413,Transfer
0.02022975,0.00040409,Transfer
0.06544706,0.00295764,Swap
0.011453235,0.0019632,Swap
0.079856808,0.00264072,Swap
0.01148559,0.00271719,Execute
0.0001526,0.00064635,Other
0.163617651,0.00443886,Unidentified
0.012075288,0.00030138,Transfer
0.0011,0.00100536,Unidentified
0.162011808,0.00030138,Transfer
0.134171534,0.0010057,Unidentified
0.107964619,0.00281787,Unidentified
0.006544706,0.00198727,Other
0.228,0.00264288,Execute
0.147020626,0.00030138,Transfer
3.745e-06,0.00075462,Other
0.067,0.00030204,Transfer
0.03,0.00030204,Transfer
0.16375,0.00030204,Transfer
0.0331,0.00030204,Transfer
0.0005,0.00099856,Other
0.112520577,0.0033185,Swap
0.028142766,0.00030204,Transfer
0.007519,0.00030204,Transfer
0.085,0.00283437,Execute
0.15202,0.00030204,Transfer
0.18,0.00261596,Swap
0.09,0.00030206,Transfer
12.592236423,0.00030206,Transfer
0.25,0.00030213,Transfer
0.25,0.00030213,Transfer
0.0005,0.00099976,Other
0.01,0.0003024,Transfer
0.11453,0.00030266,Transfer
0.25,0.0017417,Swap
1.5,0.00212712,Swap
0.000381148,0.00030345,Transfer
0.000381148,0.00030345,Transfer
0.000381148,0.00030345,Transfer
0.000381148,0.00030345,Transfer
0.003,0.00124517,Other
0.2552,0.00030408,Transfer
0.00137827,0.00030534,Transfer
0.03258,0.00030534,Transfer
0.02059651,0.00031103,Transfer
1.5604e-05,0.00030671,Transfer
0.0005,0.001031,Other
0.003432184,0.00577883,Swap
0.030638205,0.00031391,Transfer
0.000952569,0.00031391,Transfer
0.01004664,0.00034335,Transfer
0.02894475,0.00034566,Transfer
0.000871286,0.00032235,Transfer
0.099103982,0.00033905,Transfer
0.001057644,0.00032235,Transfer
0.073167469,0.00032289,Transfer
1.709587793,0.00033285,Transfer
0.455224552,0.00033285,Transfer
0.207951666,0.00033285,Transfer
0.268456386,0.00033285,Transfer
0.100333401,0.00033285,Transfer
0.316201071,0.00033285,Transfer
0.09456,0.00033738,Transfer
0.035040935,0.00527787,Other
0.02582,0.00034233,Transfer
0.09178,0.00034233,Transfer
0.057,0.00034233,Transfer
0.15639,0.00034233,Transfer
0.97280618,0.00034335,Transfer
0.058917007,0.00034335,Transfer
0.04575,0.00034335,Transfer
0.0309,0.00034734,Transfer
0.03521507,0.00034335,Transfer
0.0365607,0.00034335,Transfer
0.10740253,0.00034335,Transfer
0.05007825,0.00034335,Transfer
0.13484164,0.00034338,Transfer
0.1045,0.00034734,Transfer
0.0025596,0.00036311,Transfer
0.017499928,0.00040007,Transfer
0.02041556,0.00042735,Transfer
0.4,0.00340223,Unidentified
0.184095864,0.00050413,Transfer
0.038212863,0.00050876,Transfer
0.021515807,0.0005151,Transfer
0.005256405,0.000546,Transfer
1.0,0.00284757,Swap
3.4e-05,0.00030138,Transfer
0.281922522,0.00241695,Execute
0.5,0.00285256,Swap
0.15,0.00515971,Unidentified
0.032639353,0.00030669,Transfer
0.01,0.00265013,Swap
0.03,0.00030737,Transfer
0.000163768,0.00030737,Transfer
0.162,0.00258621,Execute
0.08283,0.00030737,Transfer
0.090292542,0.00240324,Execute
0.03306,0.00030737,Transfer
0.066,0.00030737,Transfer
0.18,0.00080737,Other
0.04,0.00030737,Transfer
1.215,0.00030737,Transfer
9.999999999,0.00371793,Other
0.000548012,0.00030737,Transfer
0.072743098,0.00030737,Transfer
0.15,0.00266612,Execute
0.023089544,0.00030739,Transfer
0.000189829,0.00313725,Other
0.005,0.00191392,Other
0.036,0.00030739,Transfer
0.25,0.00030746,Transfer
0.25,0.00030746,Transfer
0.0005,0.00140041,Other
26.076200949,0.00318675,Other
0.2,0.00259457,Execute
0.03814,0.00030858,Transfer
0.37,0.00047872,Transfer
0.05,0.00030879,Transfer
0.194,0.00030879,Transfer
0.001372141,0.00031349,Transfer
0.030638625,0.00031349,Transfer
0.000952989,0.00031349,Transfer
0.015818931,0.00197001,Other
0.025431209,0.00031402,Transfer
0.12155286,0.000315,Transfer
0.00429796,0.000315,Transfer
0.16158226,0.000315,Transfer
0.020690934,0.00031906,Transfer
0.998647372,0.00031924,Transfer
0.16733611,0.00268073,Other
0.016043414,0.00032658,Transfer
0.014029964,0.00032658,Transfer
1.0,0.00270719,Swap
0.001635676,0.00037142,Other
0.18844379,0.00032769,Transfer
0.0015761,0.00032769,Transfer
0.00171987,0.00032769,Transfer
0.03172721,0.00032769,Transfer
0.15446938,0.00032769,Transfer
0.24194402,0.00032769,Transfer
0.0006113,0.00032769,Transfer
0.00323899,0.00032769,Transfer
0.00752831,0.00032769,Transfer
0.0619878,0.00032769,Transfer
1.001066848,0.00033963,Transfer
0.0114,0.0003425,Transfer
1.103056368,0.00504556,Other
0.005,0.00034869,Transfer
0.130638,0.00034869,Transfer
0.010004,0.00034869,Transfer
0.79573167,0.00281839,Execute
0.04628115,0.00034869,Transfer
0.78849473,0.00034869,Transfer
0.0012,0.00034869,Transfer
0.40860311,0.00034871,Transfer
0.032743997,0.00034893,Transfer
0.10557098,0.00035661,Transfer
0.000357,0.000357,Transfer
0.000357,0.000357,Transfer
0.004335,0.000357,Transfer
0.06706688,0.00035768,Transfer
0.003045618,0.0003664,Transfer
0.0094,0.00037022,Transfer
0.012689703,0.000378,Transfer
0.21806121,0.00038879,Transfer
0.04712,0.000462,Transfer
0.47887,0.000462,Transfer
0.0045,0.00052103,Transfer
0.0045,0.00052103,Transfer
0.0045,0.00052103,Transfer
0.0045,0.00052103,Transfer
0.0045,0.00052103,Transfer
0.0045,0.00052103,Transfer
0.002423234,0.00052103,Transfer
0.116383995,0.0006408,Transfer
8.928e-06,0.00588087,Swap
0.2,0.00283012,Swap
0.6,0.00916063,Swap
0.3,0.01004558,Unidentified
0.09187,0.000462,Transfer
0.56874,0.000462,Transfer
31.28967,0.000462,Transfer
0.014894024,0.00032746,Transfer
0.257723,0.00031101,Transfer
0.104300508,0.00031103,Transfer
0.002043726,0.00031103,Transfer
0.014747721,0.00031103,Transfer
0.006895068,0.00031103,Transfer
0.01435655,0.00031103,Transfer
0.01,0.00041453,Other
5.227e-06,0.00074947,Other
4.63e-06,0.00081702,Other
0.007574691,0.00357601,Unidentified
0.034842902,0.00380819,Unidentified
0.308,0.00571878,Unidentified
0.049666959,0.00031169,Transfer
0.01,0.00031172,Transfer
0.006548509,0.00031172,Transfer
0.0335,0.00031172,Transfer
0.07,0.00031172,Transfer
0.0015,0.00031172,Transfer
0.01637,0.00031172,Transfer
0.000784481,0.00031243,Transfer
0.25,0.00031178,Transfer
0.25,0.00031178,Transfer
0.044,0.0004147,Other
0.19,0.00031269,Transfer
0.000146348,0.00081867,Other
0.19743,0.0003129,Transfer
0.0192,0.0003129,Transfer
1.6391e-05,0.00031402,Transfer
0.0396746,0.000315,Transfer
0.000951383,0.0003151,Transfer
0.030637019,0.0003151,Transfer
0.2,0.00187524,Other
0.698483994,0.00031539,Transfer
0.005,0.00193534,Other
0.005,0.0019341,Other
3.0,0.00233434,Execute
0.11,0.00259583,Execute
0.035,0.00296468,Swap
376.0,0.00031808,Transfer
0.112520577,0.00327036,Swap
0.020680934,0.00031906,Transfer
0.06,0.00032067,Transfer
0.15,0.00032357,Transfer
0.02028985,0.0003236,Transfer
0.3145056,0.0003236,Transfer
0.01,0.0003236,Transfer
34.204274314,0.00634072,Other
0.133929,0.00033254,Transfer
0.066,0.00033598,Transfer
0.004541,0.000336,Transfer
0.00161,0.0003381,Transfer
0.1915234,0.00034823,Transfer
0.003,0.00035097,Transfer
0.020438,0.00035301,Transfer
0.9971,0.00035301,Transfer
0.2432,0.00035301,Transfer
0.00445588,0.00035301,Transfer
0.0164541,0.00035301,Transfer
0.00183103,0.00035301,Transfer
0.13829197,0.00035301,Transfer
0.014153185,0.00035301,Transfer
0.0095,0.0003656,Transfer
0.006765929,0.00036621,Transfer
0.003392902,0.0003669,Transfer
0.136892,0.000378,Transfer
0.0066,0.0022472,Unidentified
0.060208897,0.0005151,Transfer
0.075,0.00353876,Swap
0.15,0.00271207,Execute
0.03,0.00303079,Execute
0.035,0.00409017,Execute
0.04078,0.00336472,Swap
1e-09,0.00134461,Unidentified
1e-09,0.00282649,Unidentified
0.2011,0.00306822,Unidentified
0.099096277,0.00033061,Transfer
0.030637636,0.00031448,Transfer
0.581414673,0.00031448,Transfer
0.000952,0.00031448,Transfer
0.043673481,0.00031448,Transfer
0.111,0.0003147,Transfer
3.265e-05,0.00118321,Other
0.26,0.00130747,Other
1.35,0.00241604,Execute
2.7475,0.0003147,Transfer
0.062722708,0.00214411,Execute
0.5,0.00241604,Execute
0.04645,0.00253963,Other
0.0067,0.0003147,Transfer
0.033409651,0.0003147,Transfer
0.1,0.00210244,Execute
0.034,0.0003147,Transfer
0.19,0.00208574,Execute
0.010486561,0.0003147,Transfer
0.000321695,0.00690912,Other
2.0,0.0003147,Transfer
0.044,0.0003147,Transfer
0.25,0.00031477,Transfer
0.25,0.00031477,Transfer
0.010426,0.0003161,Transfer
0.032738999,0.00097831,Other
0.056,0.00231904,Transfer
0.065054644,0.00032342,Transfer
0.164932758,0.00032441,Transfer
0.5,0.00167971,Unidentified
0.12,0.0003245,Transfer
0.001638035,0.0003245,Transfer
0.199,0.00231368,Swap
0.199,0.00247512,Swap
0.196191273,0.00032655,Transfer
0.11964168,0.00032659,Transfer
0.49097,0.00032659,Transfer
0.021,0.00249167,Execute
0.162748,0.000336,Transfer
0.15,0.0003455,Transfer
0.01,0.0003455,Transfer
0.01,0.0003455,Transfer
0.00689,0.00035597,Transfer
0.03196,0.00035597,Transfer
0.15574,0.00035597,Transfer
0.04169,0.000356,Transfer
0.0696642,0.00273558,Execute
1.0,0.0057026,Execute
0.03040086,0.000356,Transfer
0.0286,0.000356,Transfer
0.0107869,0.000356,Transfer
0.0139837,0.000356,Transfer
0.546789932,0.000356,Transfer
1.27,0.0030165,Execute
0.006,0.000356,Transfer
0.09,0.000356,Transfer
0.078996497,0.000356,Transfer
0.0012,0.000356,Transfer
0.0012,0.000356,Transfer
0.253582649,0.00343828,Execute
0.78079531,0.00035855,Transfer
0.096,0.00334553,Execute
0.002197839,0.0003669,Transfer
0.032377628,0.00036696,Transfer
0.0182,0.00036859,Transfer
0.3869,0.00038741,Transfer
0.0577,0.00038811,Transfer
0.57,0.00039254,Transfer
0.15824789,0.000945,Transfer
0.5,0.00217444,Swap
1.0,0.00345057,Unidentified
,0.00775688,Unidentified
,0.00159511,Unidentified
3.21,0.00282823,Execute
